1.243	5.154	0.658	3.190	-0.341	0.696	0.122	0.926	1.052	3.320	2.532	2.685	1.722
1.352	5.282	0.669	2.749	-0.416	0.775	0.152	0.895	0.857	3.484	1.979	2.673	1.594
1.031	5.395	0.813	3.722	-0.483	1.001	0.034	1.067	1.006	3.228	2.462	2.622	1.485
1.031	5.593	0.791	3.722	-0.371	1.029	0.137	0.993	0.955	3.310	2.407	2.666	1.479
1.116	5.324	0.669	3.021	-0.408	0.771	0.152	0.852	0.960	3.310	2.421	2.647	1.524
1.128	5.437	0.738	3.643	-0.408	0.832	0.122	1.018	1.018	3.361	2.435	2.641	1.536
1.134	5.649	0.753	3.586	-0.266	0.897	0.088	0.981	1.001	3.259	2.504	2.622	1.505
1.225	5.494	0.582	3.360	-0.445	0.841	0.127	0.999	1.018	3.330	2.476	2.717	1.632
1.358	5.069	0.620	3.145	-0.326	0.799	0.191	0.944	0.978	3.371	2.338	2.749	1.562
1.334	5.296	0.598	2.794	-0.453	0.846	0.206	0.846	0.886	3.433	2.407	2.641	1.524
1.249	5.338	0.575	2.919	-0.258	0.790	0.103	0.920	1.075	3.473	2.297	2.761	1.639
0.898	5.989	0.843	3.994	-0.677	1.001	0.108	1.091	1.001	3.320	2.310	2.622	1.460
1.249	4.716	0.624	3.337	-0.266	0.733	0.294	0.883	0.920	3.392	2.573	2.730	1.734
1.049	5.550	0.772	3.292	-0.326	1.024	0.103	1.030	0.995	3.279	2.449	2.679	1.441
1.346	5.055	0.677	2.919	-0.191	0.869	0.166	0.920	1.001	3.392	2.283	2.673	1.505
1.249	5.267	0.635	2.930	-0.423	0.968	0.171	0.999	1.012	3.473	2.297	2.653	1.536
1.304	4.928	0.703	2.681	-0.296	0.855	0.078	0.957	0.909	3.259	2.449	2.704	1.683
1.267	5.197	0.688	2.964	-0.288	0.874	0.058	0.908	0.989	3.412	2.283	2.647	1.671
1.358	5.140	0.673	3.326	-0.094	0.827	0.108	0.969	1.018	3.514	2.393	2.742	1.619
1.158	5.069	0.488	3.021	-0.416	0.869	0.093	0.895	0.857	3.514	2.407	2.711	1.613
0.886	5.168	0.552	4.220	-0.356	0.846	0.343	0.944	1.024	3.341	2.670	2.698	1.370
0.910	5.239	0.624	4.084	-0.445	0.822	0.274	0.895	0.949	3.259	2.933	2.615	1.422
1.255	5.267	0.616	2.806	-0.116	0.775	0.068	0.901	0.937	3.208	2.545	2.692	1.530
1.243	5.013	0.306	2.432	-0.490	0.987	0.083	0.914	1.001	3.320	2.061	2.609	1.479
0.941	4.546	0.760	3.643	-0.281	0.813	0.304	1.005	0.886	3.361	2.684	2.641	1.453
1.394	4.985	0.514	2.941	-0.475	0.879	0.230	0.859	0.937	3.341	2.186	2.603	1.658
1.213	5.197	0.632	3.213	-0.296	0.841	0.181	0.950	0.932	3.341	2.615	2.647	1.492
1.092	5.126	0.586	3.666	-0.288	0.860	0.211	0.926	0.799	3.249	3.029	2.469	1.543
1.261	5.522	0.613	2.681	-0.228	0.916	0.108	1.018	1.116	3.412	2.269	2.774	1.473
1.158	5.565	0.677	2.806	-0.273	0.982	0.132	0.944	1.098	3.361	2.172	2.704	1.543
1.116	5.154	0.635	2.240	-0.565	0.930	0.117	0.914	1.058	3.433	2.490	2.730	1.402
1.279	5.253	0.700	2.647	-0.386	0.897	0.073	0.938	0.995	3.146	2.587	2.698	1.511
1.485	5.211	0.650	2.421	-0.386	0.846	0.112	0.846	0.960	3.197	2.601	2.660	1.677
1.158	5.112	0.753	3.824	-0.423	0.869	0.019	1.079	0.937	3.197	2.767	2.584	1.568
1.158	4.928	0.529	3.145	-0.348	0.804	0.196	0.914	0.920	3.320	2.421	2.615	1.651
