0.613	0.442	0.604	0.521	0.560	0.587	0.512	0.584	0.669	0.586	0.523	0.636	0.728
0.583	0.457	0.635	0.545	0.584	0.579	0.502	0.599	0.668	0.586	0.554	0.643	0.702
0.563	0.452	0.623	0.585	0.585	0.583	0.508	0.595	0.645	0.577	0.584	0.615	0.710
0.591	0.480	0.630	0.498	0.593	0.595	0.487	0.610	0.700	0.593	0.529	0.663	0.699
0.574	0.483	0.647	0.509	0.587	0.609	0.492	0.598	0.697	0.588	0.522	0.652	0.710
0.567	0.454	0.636	0.459	0.548	0.598	0.489	0.593	0.690	0.595	0.545	0.656	0.688
0.594	0.461	0.653	0.495	0.572	0.591	0.480	0.597	0.679	0.567	0.552	0.651	0.705
0.628	0.458	0.640	0.475	0.572	0.580	0.488	0.582	0.673	0.572	0.553	0.645	0.731
0.574	0.451	0.667	0.599	0.567	0.585	0.469	0.620	0.669	0.572	0.565	0.633	0.714
0.574	0.438	0.608	0.539	0.577	0.571	0.505	0.593	0.666	0.584	0.540	0.638	0.727
0.586	0.442	0.651	0.563	0.593	0.574	0.487	0.597	0.684	0.586	0.542	0.641	0.725
0.577	0.485	0.681	0.572	0.583	0.579	0.489	0.600	0.678	0.601	0.541	0.645	0.703
0.526	0.480	0.688	0.598	0.576	0.609	0.464	0.603	0.682	0.579	0.537	0.653	0.698
0.538	0.462	0.663	0.566	0.581	0.612	0.480	0.598	0.688	0.589	0.541	0.653	0.688
0.545	0.476	0.689	0.599	0.591	0.612	0.472	0.604	0.681	0.588	0.542	0.652	0.692
0.561	0.450	0.621	0.539	0.567	0.608	0.487	0.608	0.675	0.574	0.538	0.648	0.705
0.571	0.449	0.657	0.522	0.584	0.595	0.478	0.600	0.673	0.581	0.543	0.643	0.701
0.576	0.430	0.619	0.519	0.570	0.602	0.492	0.594	0.679	0.601	0.546	0.650	0.723
0.606	0.447	0.655	0.519	0.574	0.598	0.492	0.600	0.688	0.590	0.539	0.658	0.714
0.545	0.464	0.679	0.599	0.578	0.593	0.526	0.575	0.640	0.584	0.588	0.601	0.722
0.606	0.458	0.614	0.523	0.595	0.591	0.493	0.587	0.694	0.580	0.522	0.650	0.722
0.559	0.438	0.625	0.485	0.534	0.581	0.499	0.608	0.679	0.588	0.530	0.654	0.742
0.558	0.453	0.688	0.546	0.529	0.604	0.500	0.586	0.664	0.577	0.520	0.639	0.718
0.560	0.478	0.675	0.592	0.588	0.609	0.485	0.621	0.688	0.579	0.534	0.653	0.684
0.605	0.464	0.640	0.563	0.607	0.573	0.495	0.598	0.689	0.596	0.533	0.662	0.721
0.533	0.462	0.638	0.629	0.581	0.574	0.529	0.588	0.681	0.589	0.574	0.643	0.692
0.556	0.479	0.634	0.516	0.588	0.597	0.500	0.604	0.685	0.595	0.517	0.655	0.716
0.558	0.466	0.641	0.528	0.552	0.602	0.502	0.589	0.669	0.569	0.556	0.659	0.709
0.589	0.449	0.634	0.493	0.573	0.597	0.491	0.605	0.676	0.595	0.532	0.641	0.709
0.561	0.491	0.685	0.557	0.583	0.631	0.478	0.618	0.671	0.589	0.544	0.642	0.692
0.598	0.457	0.584	0.492	0.576	0.608	0.514	0.589	0.675	0.584	0.518	0.630	0.707
0.540	0.509	0.701	0.606	0.540	0.619	0.486	0.621	0.678	0.601	0.543	0.639	0.694
0.541	0.506	0.699	0.592	0.537	0.625	0.490	0.626	0.686	0.586	0.532	0.640	0.688
0.578	0.416	0.611	0.514	0.553	0.581	0.484	0.571	0.680	0.580	0.541	0.632	0.709
0.544	0.471	0.667	0.589	0.573	0.610	0.496	0.623	0.683	0.584	0.534	0.657	0.692
0.518	0.459	0.636	0.612	0.551	0.578	0.484	0.564	0.650	0.577	0.558	0.628	0.722
0.577	0.470	0.637	0.536	0.577	0.578	0.463	0.595	0.678	0.591	0.540	0.678	0.724
0.616	0.451	0.626	0.549	0.613	0.579	0.475	0.611	0.689	0.602	0.542	0.655	0.729
0.537	0.452	0.646	0.593	0.585	0.578	0.503	0.598	0.675	0.593	0.559	0.651	0.708
0.551	0.463	0.630	0.628	0.555	0.582	0.535	0.592	0.688	0.596	0.553	0.649	0.691
0.565	0.465	0.666	0.522	0.580	0.599	0.476	0.606	0.689	0.576	0.522	0.662	0.713
0.512	0.417	0.655	0.595	0.581	0.568	0.525	0.603	0.665	0.581	0.561	0.628	0.703
0.608	0.468	0.634	0.501	0.555	0.600	0.494	0.602	0.685	0.582	0.519	0.643	0.700
0.580	0.459	0.609	0.528	0.571	0.565	0.471	0.594	0.692	0.595	0.546	0.638	0.728
0.578	0.443	0.632	0.500	0.574	0.586	0.478	0.605	0.669	0.568	0.535	0.645	0.718
0.539	0.410	0.664	0.572	0.581	0.569	0.510	0.598	0.665	0.587	0.555	0.643	0.704
0.564	0.482	0.688	0.564	0.584	0.629	0.461	0.621	0.679	0.571	0.542	0.647	0.694
0.538	0.478	0.682	0.586	0.582	0.614	0.490	0.615	0.690	0.580	0.537	0.652	0.682
0.556	0.444	0.685	0.517	0.553	0.591	0.465	0.599	0.678	0.563	0.533	0.660	0.770
0.595	0.456	0.666	0.459	0.622	0.585	0.467	0.598	0.708	0.597	0.544	0.665	0.728
0.584	0.449	0.671	0.469	0.600	0.588	0.482	0.604	0.710	0.595	0.534	0.659	0.725
0.614	0.427	0.583	0.536	0.560	0.590	0.491	0.593	0.679	0.588	0.544	0.627	0.720
0.618	0.463	0.649	0.500	0.567	0.593	0.484	0.591	0.698	0.579	0.525	0.648	0.725
0.559	0.480	0.681	0.586	0.570	0.631	0.469	0.611	0.680	0.578	0.544	0.652	0.691
0.601	0.466	0.645	0.522	0.591	0.589	0.508	0.602	0.686	0.577	0.563	0.658	0.712
0.582	0.439	0.637	0.546	0.583	0.583	0.485	0.606	0.692	0.589	0.531	0.664	0.740
0.604	0.441	0.623	0.535	0.578	0.563	0.497	0.607	0.677	0.581	0.543	0.648	0.730
0.604	0.460	0.595	0.513	0.571	0.573	0.477	0.596	0.668	0.596	0.524	0.653	0.732
0.566	0.432	0.636	0.525	0.594	0.574	0.484	0.603	0.676	0.584	0.546	0.657	0.718
0.602	0.463	0.640	0.548	0.574	0.567	0.469	0.605	0.690	0.594	0.550	0.652	0.719
0.595	0.452	0.643	0.513	0.585	0.601	0.493	0.585	0.669	0.595	0.557	0.653	0.730
0.563	0.480	0.559	0.549	0.510	0.595	0.492	0.600	0.661	0.580	0.507	0.613	0.743
0.602	0.444	0.600	0.484	0.564	0.573	0.469	0.571	0.669	0.587	0.525	0.645	0.731
0.553	0.479	0.676	0.583	0.570	0.630	0.468	0.614	0.672	0.587	0.538	0.647	0.692
0.596	0.446	0.650	0.539	0.565	0.582	0.491	0.595	0.671	0.580	0.545	0.653	0.734
0.606	0.463	0.633	0.516	0.569	0.582	0.483	0.594	0.669	0.577	0.546	0.645	0.735
0.557	0.485	0.685	0.574	0.581	0.632	0.489	0.613	0.688	0.594	0.540	0.654	0.684
0.589	0.445	0.622	0.511	0.588	0.569	0.484	0.590	0.696	0.598	0.540	0.652	0.742
0.606	0.434	0.637	0.538	0.540	0.573	0.483	0.599	0.681	0.594	0.527	0.638	0.701
0.598	0.462	0.640	0.503	0.585	0.600	0.471	0.604	0.688	0.589	0.536	0.647	0.732
0.602	0.467	0.647	0.506	0.580	0.572	0.463	0.588	0.675	0.611	0.524	0.649	0.720
0.574	0.451	0.652	0.540	0.547	0.581	0.466	0.592	0.681	0.590	0.534	0.637	0.756
0.584	0.459	0.644	0.506	0.575	0.579	0.489	0.598	0.685	0.585	0.531	0.663	0.747
0.566	0.424	0.646	0.510	0.573	0.570	0.480	0.605	0.674	0.579	0.527	0.652	0.706
